file,time,word,phoneme,automatic_ipa,F1,F2,F3,syllable_position,syllable,initial_syllable
Bulat,37.3797009249743,чыгышыгыз,ы,ɯ,500.6264620611071,1367.8895097861814,2435.608044445887,4,гыз,final syllable
Bulat,38.420146164565075,буенча,у,u,429.7480651149514,958.1296422247976,2255.9860436079525,1,б,initial syllable
Bulat,38.50172684287956,буенча,е,e,363.13422544764353,1962.1327819771786,2364.502504463277,2,уен,outside initial syllable
Bulat,38.90967929015249,буенча,а,ɑ,590.259676545767,1320.835685128648,1938.992203005995,3,ча,final syllable
Bulat,40.19452864850975,изүемнән,и,i,308.1495639519553,2069.443505908787,2864.4313947572937,1,из,initial syllable
Bulat,40.32233594552928,изүемнән,ү,y,337.4209641307028,1828.2092123027294,2514.138272330417,,,
Bulat,40.4120071942446,изүемнән,е,e,383.69659078195633,1157.8073495265608,2298.670528370098,2,үем,outside initial syllable
Bulat,40.70678854059608,изүемнән,ә,æ,643.6870001173305,1697.5401655780572,2697.8256468532213,3,нән,final syllable
Bulat,43.66616630231072,гаясенә,а,ɒ,558.7346417241329,1361.7518401241862,2328.9036753294367,1,г,initial syllable
Bulat,43.842963090605934,гаясенә,ә,æ,516.3989697555919,1703.3519825696867,2467.9340288543012,2,ая,outside initial syllable
Bulat,44.03846853374721,гаясенә,е,e,364.14329532582747,1578.139267164771,2362.472945448764,3,се,outside initial syllable
Bulat,44.256213560959,гаясенә,ә,æ,596.9760475215007,1678.930096210226,2798.300301897078,4,нә,final syllable
Bulat,45.528795477903394,тутырылган,у,u,392.36863378854184,1170.900334686424,2497.9449278581087,1,ту,initial syllable
Bulat,45.6759398766701,тутырылган,ы,ɯ,500.03509810837613,1344.0957546271948,2488.7174948511524,2,ты,outside initial syllable
Bulat,45.77237911099692,тутырылган,ы,ɯ,559.6647092164686,1242.497627256535,2504.3284673277903,3,рыл,outside initial syllable
Bulat,46.01099164953752,тутырылган,а,ɑ,726.9397181296101,1240.8082562779753,2064.1889326631062,4,ган,final syllable
Bulat,47.55042972764645,туйдырды,у,u,371.53270601218185,1284.3167049506278,2117.7517568320472,1,туй,initial syllable
Bulat,47.74279740493321,туйдырды,ы,ɯ,518.1201204662792,1523.8310139203384,2479.596980211884,2,дыр,outside initial syllable
Bulat,47.96722636176773,туйдырды,ы,ɯ,498.82011234635706,1502.9873524595803,2648.091458970331,3,ды,final syllable
Bulat,49.39531383197104,икенчесен,и,i,309.9417612030136,2089.6693878035444,2862.300853181576,1,и,initial syllable
Bulat,49.5362146544235,икенчесен,е,e,347.998035863284,2038.5116936619115,2658.486852291908,2,кен,outside initial syllable
Bulat,49.75406811699645,икенчесен,е,e,319.28857084326665,1646.829002378531,2564.297635927825,3,че,outside initial syllable
Bulat,49.969691156138545,икенчесен,е,e,508.2974906160395,1661.1946726208826,2421.106458387024,4,сен,final syllable
Bulat,51.521399537512856,адымнарын,а,ɒ,569.3608060582709,1091.8321203520804,2460.224454336654,1,а,initial syllable
Bulat,51.63452158273381,адымнарын,ы,ɯ,501.2692120302914,1366.5545816295962,2659.909095365309,2,дым,outside initial syllable
Bulat,51.83949486125386,адымнарын,а,ɑ,695.0163229323515,1427.8275662775454,2028.659573879043,3,на,outside initial syllable
Bulat,51.98162255909558,адымнарын,ы,ɯ,580.4504339097152,1467.45877103671,2563.0610696628123,4,рын,final syllable
Bulat,53.39595503597122,хәлем,ә,æ,650.8885071415807,1555.066548940515,2485.7126887854383,1,хә,initial syllable
Bulat,53.55493884892086,хәлем,е,e,556.0192746168292,1734.4803940953714,2585.7600410717873,2,лем,final syllable
Bulat,54.877617805755385,көнеңне,ө,œ,354.74907258129235,1604.7411192948316,2251.8755889153203,1,кө,initial syllable
Bulat,54.984692446043155,көнеңне,е,e,488.7202968441954,1726.0010741845842,2180.00220550722,2,нең,outside initial syllable
Bulat,55.266904676258996,көнеңне,е,e,502.64262014840165,1647.3648321273197,2356.431914187534,3,не,final syllable
Bulat,56.40585971223022,кебегрәк,е,e,442.3142138896455,1536.9473452962554,2153.0831488756726,1,ке,initial syllable
Bulat,56.49000346865364,кебегрәк,е,e,421.77576188576234,1501.0847621085627,2079.371996167953,2,бег,outside initial syllable
Bulat,56.702757194244604,кебегрәк,ә,æ,614.4338494551987,1642.0822796210055,2348.8466660453896,3,рәк,final syllable
Bulat,58.100204233223685,иҗатында,и,i,291.7983834926015,2058.8918039406162,2733.768509434449,1,и,initial syllable
Bulat,58.23016908778807,иҗатында,а,ɑ,527.6842952090161,1603.827589356783,2504.8936177846936,2,җа,outside initial syllable
Bulat,58.403712057713996,иҗатында,ы,ɯ,377.68085200022745,1359.7088247326171,2383.735020299625,3,тын,outside initial syllable
Bulat,58.63306033204197,иҗатында,а,ɑ,619.6442091842279,1435.9202422546948,2564.5495739735634,4,да,final syllable
Bulat,60.06058800940362,йөгерешчеләре,ө,œ,329.16494439372997,1945.8008894449,2298.647618922803,1,йө,initial syllable
Bulat,60.1424193429154,йөгерешчеләре,е,e,405.38566020733657,1600.3291056512576,2282.614112800611,2,ге,outside initial syllable
Bulat,60.23133681358485,йөгерешчеләре,е,e,437.0218532139492,1540.690474899231,2223.5242468677093,3,реш,outside initial syllable
Bulat,60.46981309032755,йөгерешчеләре,е,e,458.7107551396956,1661.6692127792153,2410.6442919019023,4,че,outside initial syllable
Bulat,60.602244874828536,йөгерешчеләре,ә,æ,563.9982500995835,1568.321641481672,2375.368722656598,5,лә,outside initial syllable
Bulat,60.749684291865066,йөгерешчеләре,е,e,535.9937381130404,1606.6795717658151,2212.2144013071224,6,ре,final syllable
Bulat,62.064135470558355,егерменче,е,e,350.24868357723136,1946.116765524628,2652.327160323938,1,е,initial syllable
Bulat,62.15262482053338,егерменче,е,e,445.24070577784585,1794.5289562837675,2291.770374376625,2,гер,outside initial syllable
